ArrivalTime, No. of Tasks in job, CPU utilization for each task, Memory Utilization for each task, Network Utilization for each task, Deadline for the job
4095,41,30,90,79,82
4109,138,68,15,26,276
4127,65,49,25,29,130
4140,95,92,46,24,190
4141,112,50,15,28,224
4142,39,25,3,98,78
4197,72,62,78,91,144
4275,70,44,21,52,140
4299,92,97,66,56,184
4355,68,56,24,36,136
4379,8,16,60,67,16
4386,8,89,88,94,16
4397,1,34,41,10,2
4405,275,94,40,93,550
4410,391,39,5,66,782
4422,121,93,94,79,242
4427,281,88,67,1,562
4459,120,69,3,45,240
4544,36,63,72,27,72
4568,55,29,14,46,110
4595,42,28,8,93,84
4606,27,6,36,6,54
4617,63,92,44,71,126
4648,27,63,17,14,54
4662,161,42,50,45,322
4676,425,57,79,78,850
4736,123,31,45,42,246
4739,136,34,60,63,272
4748,59,75,58,88,118
4753,56,6,63,70,112
4760,157,81,76,51,314
4770,72,15,95,84,144
4777,70,44,57,99,140
4809,301,71,62,80,602
4819,18,97,27,94,36
4853,49,33,2,93,98
4868,25,13,6,33,50
4872,36,91,10,94,72
4900,50,32,40,81,100
4905,35,21,86,37,70
4914,162,84,77,3,324
4925,53,50,85,90,106
4926,170,53,44,6,340
4932,76,97,82,66,152
4934,23,73,76,83,46
4942,144,46,38,54,288
4955,1,40,48,14,2
4965,27,27,50,20,54
4975,48,29,31,87,96
5000,55,85,22,1,110
5007,5,78,99,78,10
5073,34,45,74,47,68
5079,14,70,47,20,28
5080,44,16,5,61,88
5108,67,21,16,34,134
5134,53,75,95,18,106
5187,54,38,15,39,108
5213,125,16,22,14,250
5223,39,44,19,30,78
5232,333,7,27,50,666
5271,34,82,94,91,68
5276,8,44,6,82,16
5292,4,36,2,46,8
5316,144,16,93,88,288
5319,130,51,65,11,260
5336,266,13,57,14,532
5339,133,45,2,46,266
5364,53,6,26,16,106
5384,47,28,18,62,94
5393,198,78,67,18,396
5417,25,77,57,34,50
5421,82,9,16,55,164
5453,124,88,25,69,248
5456,16,87,95,77,32
5512,85,76,48,45,170
5531,17,52,49,50,34
5538,125,7,3,74,250
5555,100,73,31,55,200
5556,46,74,52,1,92
5643,1,85,94,82,2
5675,122,46,27,87,244
5677,1,5,2,3,2
5686,22,53,24,81,44
5714,163,20,77,19,326
5731,15,40,77,39,30
5757,282,90,2,31,564
5771,98,14,2,90,196
5776,35,92,92,65,70
5803,88,12,77,50,176
5827,9,69,52,84,18
5835,439,57,47,46,878
5847,160,78,84,10,320
5925,14,57,16,42,28
5952,46,43,67,14,92
5986,143,15,37,23,286
5991,88,65,11,66,176
6014,132,2,67,67,264
6021,70,21,30,57,140
6072,27,61,16,5,54
6102,138,72,18,2,276
6110,124,10,77,67,248
6122,40,39,19,13,80
6143,62,69,28,63,124
6176,393,15,55,75,786
6177,135,71,43,62,270
6212,171,22,49,52,342
6273,25,66,73,2,50
6305,116,11,76,40,232
6314,39,7,79,19,78
6320,257,26,8,95,514
6341,150,63,55,96,300
6349,41,88,91,5,82
6358,62,6,29,4,124
6367,105,22,1,75,210
6449,169,50,14,43,338
6472,6,77,5,1,12
6496,175,48,5,12,350
6527,306,3,22,86,612
6550,162,10,76,17,324
6572,49,55,65,31,98
6592,34,73,52,68,68
6608,109,87,64,19,218
6619,43,58,21,6,86
6625,47,93,21,93,94
6643,2,49,32,66,4
6681,45,83,18,6,90
6697,410,26,13,6,820
6705,117,68,57,65,234
6721,123,73,73,3,246
6731,156,98,84,61,312
6738,117,20,88,39,234
6739,113,18,46,97,226
6772,100,62,30,30,200
6804,80,21,73,35,160
6826,59,44,27,88,118
6861,32,69,23,98,64
6869,92,29,22,5,184
6908,194,62,52,60,388
6925,84,89,97,96,168
6969,44,7,40,9,88
6975,80,36,81,30,160
7011,52,82,19,20,104
7022,35,56,5,21,70
7115,7,32,27,59,14
7209,165,90,50,23,330
7215,1,20,65,25,2
7286,164,43,99,46,328
7310,2,4,59,84,4
7323,113,94,28,40,226
7354,2,85,84,80,4
7379,175,3,2,92,350
7383,44,19,28,8,88
7415,195,99,35,26,390
7449,87,25,58,28,174
7459,221,44,50,61,442
7479,30,71,60,69,60
7484,184,37,45,28,368
7524,56,26,38,16,112
7554,467,54,82,79,934
7569,2,26,57,36,4
7572,472,15,77,58,944
7588,32,44,24,59,64
7594,356,73,42,72,712
7601,123,82,52,35,246
7635,69,88,15,59,138
7645,155,10,42,73,310
7660,125,58,74,99,250
7664,21,2,75,52,42
7674,162,85,62,97,324
7689,174,33,95,24,348
7722,52,77,22,35,104
7745,103,62,9,1,206
7758,28,85,92,27,56
7780,204,56,70,13,408
7781,153,19,56,84,306
7800,79,14,86,27,158
7811,16,10,1,50,32
7844,81,31,68,86,162
7871,32,8,55,43,64
7878,3,20,49,93,6
7907,39,71,79,52,78
7930,172,12,23,1,344
7946,50,98,50,83,100
7960,75,48,16,2,150
7994,22,25,53,30,44
8029,53,23,18,95,106
8033,78,70,38,67,156
8054,169,38,31,43,338
8114,118,47,26,91,236
8147,65,61,49,43,130
8161,111,20,77,27,222
8170,5,11,46,60,10
8199,98,30,85,47,196
8202,59,10,57,25,118
8224,168,85,44,14,336
8263,139,81,58,5,278
8287,36,28,87,98,72
8296,147,25,42,92,294
8313,116,37,87,37,232
8319,81,54,16,41,162
8323,71,17,25,41,142
8346,171,46,66,12,342
8382,176,19,8,66,352
8397,24,75,67,75,48
8407,109,20,41,86,218
8409,301,59,83,73,602
8415,165,9,78,45,330
8418,70,26,12,22,140
8440,45,19,16,28,90
8441,148,22,46,21,296
8458,16,62,95,96,32
8477,113,85,64,55,226
8543,197,77,34,26,394
8559,122,18,70,69,244
8580,48,19,90,43,96
8601,88,78,7,41,176
8604,31,57,86,53,62
8634,21,37,31,48,42
8638,117,10,40,26,234
8662,182,49,93,21,364
8666,77,73,57,38,154
8712,51,59,50,32,102
8716,10,45,13,31,20
8719,34,45,88,24,68
8741,16,61,26,42,32
8777,110,66,11,93,220
8787,5,35,20,92,10
8806,85,24,25,83,170
8815,96,22,61,13,192
8831,330,3,87,16,660
8864,84,94,52,62,168
8890,105,69,84,66,210
8897,107,56,81,49,214
8909,15,56,73,17,30
8910,153,85,37,65,306
8939,24,11,28,88,48
8948,122,7,90,12,244
8950,24,27,93,85,48
8970,234,30,20,44,468
8976,22,9,85,11,44
8978,18,83,14,58,36
8991,110,26,93,71,220
9025,4,42,28,40,8
9026,181,35,32,54,362
9040,51,42,41,94,102
9073,96,9,63,81,192
9080,45,32,84,78,90
9085,81,71,34,70,162
9130,168,24,74,43,336
9161,133,18,83,41,266
9171,37,52,40,13,74
9184,60,78,96,17,120
9225,9,80,53,33,18
9259,146,8,46,72,292
9272,48,92,95,11,96
9281,12,43,57,9,24
9379,102,15,9,38,204
9432,31,65,18,67,62
9437,13,41,41,34,26
9447,67,15,45,58,134
9455,170,5,75,91,340
9458,7,19,36,16,14
9469,71,46,94,39,142
9474,168,60,22,74,336
9527,36,66,78,9,72
9561,28,52,90,72,56
9589,227,31,69,98,454
9619,155,93,29,59,310
9670,54,93,95,25,108
9703,68,48,61,57,136
9710,2,89,8,61,4
9724,205,73,14,81,410
9761,171,80,19,38,342
9852,68,67,9,1,136
9858,49,80,61,47,98
9862,490,90,71,1,980
9906,266,48,21,16,532
9920,27,92,65,42,54
9949,51,26,86,48,102
9980,4,25,37,42,8
9992,42,69,87,72,84
9998,17,4,47,52,34
10006,57,42,43,73,114
10033,26,40,70,91,52
10067,267,38,48,6,534
10100,170,95,8,71,340
10108,143,45,15,38,286
10117,150,56,22,31,300
10118,1,4,61,53,2
10140,259,9,32,74,518
10149,165,80,84,87,330
10174,36,16,3,15,72
10206,70,85,22,29,140
10223,186,69,25,57,372
10278,459,41,44,89,918
10298,31,8,74,84,62
10347,24,51,22,91,48
10370,220,5,22,64,440
10385,72,76,93,80,144
10391,149,32,53,40,298
10396,155,24,61,25,310
10409,63,26,51,30,126
10414,31,44,4,88,62
10415,43,85,61,87,86
10428,1,22,88,24,2
10433,138,22,59,70,276
10462,174,76,36,74,348
10478,166,40,93,81,332
10508,43,57,92,44,86
10533,45,70,54,72,90
10546,7,56,35,88,14
10580,112,96,77,65,224
10581,47,66,78,20,94
10591,129,9,32,67,258
10620,164,15,68,62,328
10681,86,54,19,26,172
10717,276,47,12,64,552
10733,100,10,22,66,200
10758,246,36,20,43,492
10797,115,12,80,66,230
10842,78,45,77,72,156
10880,31,77,96,1,62
10916,25,78,88,20,50
10924,68,63,91,11,136
10966,26,49,94,82,52
10985,5,73,9,18,10
11002,66,46,88,12,132
11064,28,41,99,14,56
11088,148,47,92,8,296
11115,84,66,65,80,168
11116,2,52,45,46,4
11138,151,30,58,36,302
11149,128,29,67,12,256
11179,68,79,17,50,136
11188,171,29,26,4,342
11195,1,52,15,28,2
11199,8,77,57,36,16
11209,53,80,8,72,106
11218,148,20,53,16,296
11226,307,49,41,19,614
11250,184,21,24,98,368
11254,84,84,97,43,168
11304,126,75,70,93,252
11313,197,61,69,42,394
11324,227,84,42,54,454
11332,191,29,4,31,382
11335,184,97,88,72,368
11345,40,94,31,57,80
11347,211,38,87,27,422
11373,97,42,6,30,194
11375,89,38,62,1,178
11386,310,24,21,94,620
11417,121,41,62,17,242
11441,137,67,86,69,274
11448,9,40,81,86,18
11452,111,56,33,94,222
11463,55,17,61,37,110
11467,152,90,22,74,304
11470,45,76,79,37,90
11497,37,29,53,69,74
11501,1,74,21,56,2
11506,24,68,97,50,48
11525,52,40,91,80,104
11592,48,77,93,23,96
11593,40,74,74,13,80
11672,123,82,68,52,246
11674,21,55,11,36,42
11675,250,9,55,21,500
11697,46,24,88,25,92
11708,58,37,58,50,116
11715,44,98,8,82,88
11737,15,53,38,34,30
11742,51,77,95,20,102
11800,10,54,91,87,20
11813,2,78,84,96,4
11826,133,33,69,94,266
11839,11,60,85,29,22
11862,58,46,86,88,116
11960,159,19,7,69,318
11989,121,58,48,66,242
11999,39,65,32,74,78
12009,23,80,1,37,46
12020,57,65,55,65,114
12024,21,84,72,44,42
12032,16,75,58,55,32
12063,139,93,95,85,278
12095,23,98,59,3,46
12096,29,94,16,50,58
12111,96,70,11,48,192
12112,338,8,69,57,676
12180,6,29,52,81,12
12184,395,73,92,94,790
12194,4,32,12,49,8
12235,10,84,12,47,20
12237,5,3,88,24,10
12248,112,46,86,97,224
12264,56,46,8,3,112
12283,38,17,67,88,76
12416,112,72,40,11,224
12451,25,22,15,59,50
12531,292,7,81,22,584
12538,67,33,77,94,134
12543,68,58,69,85,136
12544,66,7,13,47,132
12582,115,54,11,36,230
12595,493,4,9,56,986
12648,147,95,41,91,294
12654,50,47,21,63,100
12655,53,19,10,91,106
12669,55,19,18,10,110
12705,23,24,5,71,46
12714,41,32,35,11,82
12733,158,79,24,4,316
12749,164,48,45,2,328
12766,7,66,54,80,14
12794,76,58,33,29,152
12796,9,2,81,93,18
12807,344,70,61,93,688
12855,24,92,64,88,48
12881,53,66,53,43,106
12980,205,55,27,47,410
12996,14,11,21,66,28
13002,59,39,27,64,118
13015,81,23,13,24,162
13026,96,36,68,46,192
13039,666,36,73,93,1332
13044,176,67,65,90,352
13140,404,63,72,71,808
13162,38,86,65,52,76
13170,26,45,10,31,52
13215,6,73,76,38,12
13244,192,63,4,69,384
13283,69,13,57,38,138
13302,265,6,79,62,530
13312,33,70,73,18,66
13326,2,77,54,9,4
13327,9,53,23,98,18
13346,74,2,34,57,148
13363,183,44,48,12,366
13364,48,52,54,15,96
13396,99,65,81,11,198
13411,83,79,37,31,166
13420,88,32,91,18,176
13433,141,98,76,47,282
13446,11,77,46,62,22
13454,1,51,83,17,2
13509,59,23,30,89,118
13510,243,46,81,21,486
13511,132,14,39,29,264
13522,495,54,26,18,990
13541,84,46,49,52,168
13544,34,72,55,23,68
13548,67,66,71,7,134
13582,56,8,73,66,112
13592,69,53,31,20,138
13667,26,79,10,94,52
13717,482,98,25,35,964
13721,110,11,40,39,220
13732,44,64,70,33,88
13744,227,5,75,80,454
13763,146,52,55,67,292
13777,196,22,60,89,392
13784,96,1,80,60,192
13788,51,50,12,54,102
13794,71,38,56,81,142
13801,5,5,14,56,10
13823,99,22,57,20,198
13841,88,7,60,6,176
13843,8,50,58,48,16
13876,162,29,93,10,324
13902,76,31,19,38,152
13925,47,50,54,17,94
13926,66,42,25,55,132
13930,69,59,73,60,138
13938,40,95,93,56,80
13939,278,93,63,2,556
13991,5,5,14,41,10
13996,7,49,72,18,14
14002,57,50,53,54,114
14020,96,64,82,26,192
14041,19,6,70,95,38
14042,22,82,24,11,44
14051,173,13,83,76,346
14091,50,72,99,90,100
14093,378,5,2,98,756
14101,254,2,16,5,508
14105,24,89,87,51,48
14106,58,21,13,41,116
14134,4,60,20,88,8
14146,63,30,49,99,126
14165,96,9,52,34,192
14173,73,73,92,40,146
14198,36,2,74,25,72
14266,23,11,29,58,46
14291,32,18,71,90,64
14296,35,8,22,79,70
14298,111,21,90,44,222
14302,91,65,22,51,182
14318,10,65,97,98,20
14330,169,24,79,35,338
14344,131,82,22,88,262
14361,119,46,30,17,238
14427,7,55,71,78,14
14437,24,37,66,9,48
14438,42,69,89,63,84
14442,5,90,47,96,10
14473,262,41,79,69,524
14482,25,57,44,19,50
14493,32,93,44,37,64
14503,91,86,95,76,182
14516,109,72,61,69,218
14534,8,8,67,41,16
14576,49,34,36,57,98
14591,202,88,25,9,404
14605,10,40,73,5,20
14641,42,77,61,40,84
14670,23,37,42,17,46
14720,6,59,87,15,12
14733,141,52,12,37,282
14769,61,8,35,86,122
14774,98,36,94,11,196
14777,40,60,5,18,80
14822,126,58,57,27,252
14896,344,8,89,83,688
14898,127,8,10,27,254
14932,25,43,67,15,50
14940,13,6,37,70,26
14942,23,22,28,89,46
14967,81,23,42,33,162
14982,61,9,51,7,122
15005,4,28,99,12,8
15107,72,96,80,47,144
15111,89,56,92,42,178
15138,330,98,48,1,660
15159,51,96,3,65,102
15163,7,96,4,79,14
15225,21,58,14,67,42
15264,159,92,79,59,318
15297,48,49,30,74,96
15345,59,72,55,17,118
15352,50,41,88,13,100
15362,69,96,20,25,138
15366,92,34,23,20,184
15415,211,54,61,93,422
15416,75,53,45,98,150
15429,71,68,57,82,142
15443,180,90,25,23,360
15475,146,86,19,25,292
15489,250,91,94,24,500
15498,69,59,56,33,138
15500,180,38,97,36,360
15510,27,65,33,48,54
15524,17,31,98,90,34
15538,228,35,15,88,456
15614,371,93,56,47,742
15619,13,74,66,27,26
15640,170,20,41,48,340
15651,43,73,61,68,86
15660,11,71,13,36,22
15665,129,71,37,46,258
15749,79,3,51,81,158
15775,116,8,39,4,232
15781,511,19,29,25,1022
15829,21,6,91,24,42
15831,136,15,65,9,272
15858,105,40,74,24,210
15860,20,53,4,25,40
15871,310,29,12,4,620
15885,199,97,59,59,398
15917,169,84,13,66,338
15955,241,69,76,21,482
16032,35,56,73,15,70
16040,53,80,14,70,106
16043,24,94,99,45,48
16065,246,34,77,53,492
16086,6,7,17,66,12
16093,65,96,5,67,130
16095,74,14,38,22,148
16102,162,17,20,14,324
16106,72,27,19,5,144
16120,46,33,71,26,92
16124,11,10,90,75,22
16125,50,61,81,78,100
16129,73,10,71,95,146
16138,71,24,71,15,142
16144,382,51,65,68,764
16171,25,81,92,36,50
16186,108,31,39,89,216
16205,59,38,16,96,118
16207,48,82,20,97,96
16225,27,62,68,34,54
16283,423,13,82,42,846
16318,134,41,70,19,268
16325,31,40,50,55,62
16327,241,55,89,53,482
16328,14,97,73,15,28
16339,137,32,93,60,274
16356,12,43,29,14,24
16366,55,74,96,10,110
16374,74,59,55,51,148
16416,163,49,98,50,326
16417,191,61,96,10,382
16418,389,94,44,48,778
16431,40,84,80,20,80
16432,19,15,40,97,38
16447,4,1,45,28,8
16479,113,99,85,5,226
16489,106,72,39,91,212
16493,4,3,61,94,8
16496,39,49,8,77,78
16510,11,33,63,71,22
16545,38,87,79,27,76
16549,23,52,96,86,46
16554,70,62,67,73,140
16557,20,12,33,69,40
16580,8,41,88,86,16
16614,23,75,72,32,46
16621,48,13,66,70,96
16624,31,76,22,80,62
16628,138,5,66,85,276
16634,78,94,41,48,156
16645,99,89,49,30,198
16721,13,35,71,62,26
16730,92,74,92,2,184
16740,292,34,57,78,584
16761,179,77,87,42,358
16766,37,67,37,31,74
16796,13,15,24,17,26
16807,7,71,12,24,14
16818,55,73,27,99,110
16836,85,89,66,77,170
16852,51,36,20,91,102
16895,41,15,92,51,82
16921,214,69,10,46,428
16926,5,76,5,69,10
16937,7,41,27,44,14
16961,65,59,13,28,130
16972,6,60,20,78,12
16990,75,77,64,24,150
17011,2,34,68,32,4
17021,4,50,64,83,8
17042,163,93,8,9,326
17060,53,39,24,84,106
17083,24,27,4,45,48
17096,15,90,19,98,30
17139,71,42,37,35,142
17169,178,5,72,12,356
17184,20,87,98,86,40
17204,25,77,69,97,50
17206,18,69,44,67,36
17220,115,71,41,23,230
17226,170,73,85,54,340
17291,39,27,80,8,78
17325,15,5,15,71,30
17378,21,93,6,28,42
17404,31,52,97,19,62
17417,59,12,7,49,118
17421,382,56,69,28,764
17429,45,3,19,59,90
17437,52,78,48,94,104
17454,108,38,97,43,216
17458,27,43,45,93,54
17590,151,84,52,83,302
17635,57,93,38,26,114
17651,55,96,87,24,110
17653,91,60,74,52,182
17654,84,70,21,71,168
17659,217,48,90,14,434
17666,132,92,15,9,264
17667,28,17,78,80,56
17691,55,35,13,48,110
17709,122,39,29,25,244
17723,58,83,96,28,116
17737,90,78,34,22,180
17809,108,6,80,6,216
17813,1,80,89,91,2
17818,54,94,38,63,108
17821,106,1,38,70,212
17825,93,88,7,32,186
17833,117,27,52,39,234
17866,69,15,39,1,138
17879,219,88,79,51,438
17889,151,69,22,69,302
17893,75,37,8,94,150
17912,104,17,3,94,208
17914,12,10,6,91,24
17948,73,56,22,75,146
17951,33,48,62,46,66
17958,1,93,98,32,2
18031,325,44,72,34,650
18053,172,18,62,30,344
18100,266,17,26,37,532
18112,130,70,84,24,260
18121,65,85,6,94,130
18147,22,58,33,62,44
18185,44,69,46,79,88
18198,43,94,35,22,86
18231,87,1,74,24,174
18238,21,62,99,56,42
18241,660,89,52,77,1320
18264,229,10,53,53,458
18267,84,34,99,92,168
18287,10,76,71,65,20
18294,6,32,22,62,12
18311,28,94,72,45,56
18329,37,38,72,85,74
18330,7,9,19,57,14
18347,122,61,25,59,244
18376,91,51,6,18,182
18391,73,32,53,15,146
18407,74,15,22,40,148
18410,360,18,89,30,720
18428,20,14,86,70,40
18439,27,46,45,34,54
18448,16,70,88,72,32
18472,20,99,69,76,40
18474,41,99,86,12,82
18477,168,97,84,85,336
18497,68,87,92,39,136
18518,54,3,39,24,108
18564,24,14,76,22,48
18578,98,40,34,87,196
18622,13,36,43,43,26
18625,172,97,58,10,344
18639,17,83,77,31,34
18640,36,97,51,15,72
18684,366,97,96,44,732
18690,110,11,89,20,220
18703,235,54,26,53,470
18707,64,38,97,40,128
18714,48,41,20,47,96
18738,134,97,39,32,268
18798,2,72,40,69,4
18812,192,82,27,22,384
18829,67,51,61,58,134
18833,169,52,30,55,338
18839,35,5,72,38,70
18857,16,23,41,12,32
18865,116,3,6,60,232
18935,19,42,50,7,38
19002,100,95,67,84,200
19010,39,58,32,86,78
19025,85,95,75,21,170
19040,90,22,74,8,180
19044,8,69,32,88,16
19062,87,83,70,15,174
19082,148,85,53,33,296
19113,78,93,17,76,156
19116,81,75,78,22,162
19149,15,23,16,32,30
19167,91,61,83,54,182
19172,59,78,56,47,118
19177,47,51,59,27,94
19179,124,58,48,92,248
19216,14,33,14,64,28
19232,19,7,82,13,38
19283,104,9,27,91,208
19304,106,87,98,91,212
19331,231,98,42,32,462
19378,74,10,49,2,148
19397,221,18,65,82,442
19430,17,33,46,25,34
19479,70,13,79,38,140
19571,4,45,34,84,8
19578,7,45,15,69,14
19585,220,35,19,11,440
19620,31,8,39,34,62
19661,66,16,64,46,132
19688,23,20,20,5,46
19692,39,6,37,28,78
19771,124,2,43,9,248
19777,303,18,29,10,606
19796,70,38,71,62,140
19799,88,68,82,60,176
19819,23,61,80,63,46
19822,30,11,40,42,60
19823,94,20,78,70,188
19826,42,31,51,8,84
19835,351,9,3,39,702
19840,336,64,66,75,672
19874,40,94,47,9,80
19961,76,9,88,40,152
19971,77,11,59,32,154
20024,24,86,28,37,48
20029,94,87,86,14,188
20091,101,64,10,4,202
20148,158,37,21,62,316
20211,16,53,89,69,32
20212,166,76,11,10,332
20230,90,27,28,5,180
20246,28,99,95,45,56
20275,26,13,97,10,52
20282,11,98,56,16,22
20289,4,72,89,22,8
20290,4,80,50,53,8
20316,185,63,42,86,370
20383,82,11,94,73,164
20419,255,12,41,12,510
20421,107,45,27,70,214
20439,138,5,23,40,276
20441,237,63,76,30,474
20464,95,75,76,24,190
20543,165,39,53,31,330
20648,246,91,99,67,492
20681,463,61,42,63,926
20708,36,53,10,96,72
